Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image,Interesting
مغامرات القطة قطقوطة,1,0.0,0.0,‎سلسلة حكايات الحيوانات الصغيرة‎,كتاب فلين,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/6/362141.jpg",1
عقدك النفسية سجنك الابدي,4,5.0,0.00136,‎يوسف الحسني‎,Paperback,"Politics & Social Sciences,, Best Sellers,, New Arrivals,, E-Books","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/563593.jpg",1
مغامرات البطة بطوطة,1,0.0,0.0,‎سلسلة حكايات الحيوانات الصغيرة‎,كتاب فلين,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/6/362143.jpg",1
يوم ممتع في المدرسة,0,0.0,0.0,‎سلسلة كم الساعة‎,كتاب مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/9/392269.jpg",1
يوم ممتع في المنزل,0,0.0,0.0,‎سلسلة كم الساعة‎,كتاب مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/9/392271.jpg",1
أفضل قصص من مزرعة الحيوانات,3,0.0,0.0,‎انا كاساليس‎,كتاب مقوى,"Jarir Publications Books,, Children Books,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/3/9/392327.jpg",1
سندريلا,1,0.0,0.0,‎سلسلة حكايات عالمية‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/6/266757.jpg",0
ذات الرداء الاحمر,1,0.0,0.0,‎سلسلة حكايات عالمية‎,غلاف مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/6/266766.jpg",1
قصص خيالية سندريلا,0,0.0,0.0,‎سلسلة قصص خيالية‎,كتاب مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/420460.jpg",1
قصص خيالية سنووايت,0,0.0,0.0,‎سلسلة قصص خيالية‎,كتاب مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/420461.jpg",0
قصص خيالية ذات الرداء الاحمر,0,0.0,0.0,‎سلسلة قصص خيالية‎,كتاب مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/420462.jpg",1
(ما الصوت؟ المزرعة (كتاب صوتي,3,0.0,0.0,‎سلسلة ما الصوت‎,كتاب مقوى,"Jarir Publications Books,, Children Books,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/2/420547.jpg",1
المعاصر 9 تأسيس كمي ورقمي ومحوسب مع بنك المحوسب الجديد 80 اصدار,4,4.7,0.0036,‎عماد الجزيري‎,Paperback,"School Textbooks,, New Arrivals, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/f/e/8/3/fe8352d1794102cd8bee79a01b577b1f82c2036c_641633.jpg",1
